"","value"
"1",1.7196
"2",1.7196
"3",1.7196
"4",1.7196
"5",1.7196
"6",1.7196
"7",1.7196
"8",1.7196
"9",1.7196
"10",1.7196
"11",1.7196
"12",1.7292
"13",1.7292
"14",1.7292
"15",1.7292
"16",1.7292
"17",1.7292
"18",1.7292
"19",1.7292
"20",1.7292
"21",1.7292
"22",1.7292
"23",1.7292
"24",1.7292
"25",1.7292
"26",1.7292
"27",1.7292
"28",1.7292
"29",1.7292
"30",1.7292
"31",1.7292
"32",1.7292
"33",1.7388
"34",1.7388
"35",1.7388
"36",1.7388
"37",1.7388
"38",1.7388
"39",1.7388
"40",1.7388
"41",1.7388
"42",1.7388
"43",1.7388
"44",1.7388
"45",1.7388
"46",1.7388
"47",1.7388
"48",1.7388
"49",1.7388
"50",1.7388
"51",1.7388
"52",1.7388
"53",1.7388
"54",1.7388
"55",1.7388
"56",1.7388
"57",1.7388
"58",1.7388
"59",1.7388
"60",1.7388
"61",1.7388
"62",1.7484
"63",1.7484
"64",1.7484
"65",1.7484
"66",1.7484
"67",1.7484
"68",1.7484
"69",1.7484
"70",1.7484
"71",1.7484
"72",1.7484
"73",1.7484
"74",1.7484
"75",1.7484
"76",1.7484
"77",1.7484
"78",1.7484
"79",1.7484
"80",1.7484
"81",1.7484
"82",1.7484
"83",1.7484
"84",1.7484
"85",1.7484
"86",1.7484
"87",1.7484
"88",1.7484
"89",1.7484
"90",1.7484
"91",1.7484
"92",1.7484
"93",1.7484
"94",1.758
"95",1.758
"96",1.758
"97",1.758
"98",1.758
"99",1.758
"100",1.758
"101",1.758
"102",1.758
"103",1.758
"104",1.758
"105",1.758
"106",1.758
"107",1.758
"108",1.758
"109",1.758
"110",1.758
"111",1.758
"112",1.758
"113",1.758
"114",1.758
"115",1.758
"116",1.758
"117",1.758
"118",1.758
"119",1.758
"120",1.758
"121",1.7676
"122",1.7676
"123",1.7676
"124",1.7676
"125",1.7676
"126",1.7676
"127",1.7676
"128",1.7676
"129",1.7676
"130",1.7676
"131",1.7676
"132",1.7676
"133",1.7676
"134",1.7676
"135",1.7676
"136",1.7676
"137",1.7676
"138",1.7676
"139",1.7676
"140",1.7676
"141",1.7676
"142",1.7676
"143",1.7773
"144",1.7773
"145",1.7773
"146",1.7773
"147",1.7773
"148",1.7773
"149",1.7773
"150",1.7773
"151",1.7773
"152",1.7773
"153",1.7773
"154",1.7773
"155",1.7773
"156",1.7773
