,value
0,-16.751309272673517
1,-21.22351282730015
2,-21.05634350452691
3,-22.145937244312343
4,-18.269184741350642
5,-24.603077393760564
6,-16.51037647156704
7,-21.522413801790204
8,-19.361921807885803
9,-20.49874075095482
10,-17.07578412591005
11,-24.120281418995308
12,-20.644834408027016
13,-20.768108709336833
14,-17.732461115329126
15,-22.199782534628064
16,-20.34485641510087
17,-21.755716835842744
18,-19.915572506568815
19,-18.834369572568356
20,-22.201238354425843
21,-17.710552580320773
22,-18.19681855881441
23,-18.995011322196262
24,-18.198288101471178
25,-21.367455718348666
26,-20.245780451037298
27,-21.871538868518137
28,-20.53577615925203
29,-18.939289066523628
30,-21.383321503450617
31,-20.793507053711956
32,-21.3743454002392
33,-21.690411282997438
34,-21.342492261673637
35,-20.025329197837802
36,-22.234620697270557
37,-19.531168604365817
38,-16.68039564578026
39,-18.515911678845328
40,-20.38367110472323
41,-21.775257928169673
42,-21.494316587501675
43,-16.615090797944507
44,-19.898384490447942
45,-21.273991293138707
46,-19.61816903066507
47,-15.799489727042316
48,-19.75968209503674
49,-18.76559378058516
50,-19.399659360088346
51,-20.70449969298704
52,-22.28503639604428
53,-20.698685444825756
54,-20.417788466749556
55,-18.826753617635603
56,-18.32203317225099
57,-18.137795837392886
58,-19.428825349491483
59,-18.229717671458545
60,-21.508795881993304
61,-17.494263689533426
62,-18.974140359163982
63,-20.596185670205433
64,-19.022963706925005
65,-20.15114342604211
66,-17.736741225097145
67,-16.9603663671556
68,-15.628849186933678
69,-22.792992670976275
70,-22.88822761085918
71,-21.008931725892904
72,-19.67992586110434
73,-18.24766215776755
74,-19.36873010551679
75,-24.044402431648006
76,-20.612408025256745
77,-18.344050714785507
78,-19.539810529271232
79,-18.47597763937595
80,-20.44465628522072
81,-20.401516137859996
82,-19.62687721802343
83,-19.179896705583488
84,-19.60340055974646
85,-19.761982708385084
86,-21.34132457257806
87,-19.24487242735816
88,-19.756357458017128
89,-17.74103218417616
90,-17.602164240196984
91,-19.629687165032113
92,-20.750569900180228
93,-21.277460814908444
94,-19.153011291871774
95,-19.84531986330288
96,-20.68770735114215
97,-19.912806286331506
98,-21.24000168789626
99,-18.603935931855563
100,-20.894257129571997
101,-17.550984590389003
102,-19.1930167164184
