,value
0,-2.318782731816838
1,-2.430587820682504
2,-2.4264085876131727
3,-2.4536484311078084
4,-2.356729618533766
5,-2.515076934844014
6,-2.312759411789176
7,-2.438060345044755
8,-2.384048045197145
9,-2.4124685187738706
10,-2.326894603147751
11,-2.503007035474883
12,-2.4161208602006754
13,-2.4192027177334205
14,-2.343311527883228
15,-2.4549945633657013
16,-2.408621410377522
17,-2.4438929208960687
18,-2.3978893126642205
19,-2.3708592393142087
20,-2.455030958860646
21,-2.3427638145080194
22,-2.3549204639703603
23,-2.3748752830549065
24,-2.354957202536779
25,-2.4341863929587166
26,-2.4061445112759325
27,-2.4467884717129533
28,-2.4133944039813007
29,-2.3734822266630906
30,-2.434583037586265
31,-2.419837676342799
32,-2.43435863500598
33,-2.442260282074936
34,-2.433562306541841
35,-2.400633229945945
36,-2.455865517431764
37,-2.3882792151091454
38,-2.3170098911445063
39,-2.362897791971133
40,-2.409591777618081
41,-2.4443814482042416
42,-2.4373579146875417
43,-2.3153772699486126
44,-2.3974596122611986
45,-2.4318497823284675
46,-2.390454225766627
47,-2.294987243176058
48,-2.3939920523759186
49,-2.369139844514629
50,-2.3849914840022084
51,-2.417612492324676
52,-2.457125909901107
53,-2.417467136120644
54,-2.4104447116687386
55,-2.37066884044089
56,-2.3580508293062747
57,-2.353444895934822
58,-2.385720633737287
59,-2.3557429417864637
60,-2.4377198970498326
61,-2.3373565922383355
62,-2.3743535089790995
63,-2.4149046417551356
64,-2.375574092673125
65,-2.4037785856510525
66,-2.3434185306274284
67,-2.32400915917889
68,-2.2907212296733417
69,-2.469824816774407
70,-2.4722056902714793
71,-2.4252232931473223
72,-2.3919981465276083
73,-2.3561915539441887
74,-2.3842182526379196
75,-2.5011100607912002
76,-2.4153102006314184
77,-2.3586012678696378
78,-2.3884952632317806
79,-2.3618994409843985
80,-2.411116407130518
81,-2.4100379034465
82,-2.3906719304505857
83,-2.379497417639587
84,-2.3900850139936614
85,-2.394049567709627
86,-2.4335331143144514
87,-2.381121810683954
88,-2.393908936450428
89,-2.343525804604404
90,-2.3400541060049247
91,-2.3907421791258026
92,-2.4187642475045057
93,-2.431936520372711
94,-2.3788252822967944
95,-2.3961329965825717
96,-2.417192683778554
97,-2.3978201571582876
98,-2.4310000421974065
99,-2.365098398296389
100,-2.4223564282392998
101,-2.338774614759725
102,-2.37982541791046
103,-2.3703210738381464
104,-2.454745592287052
105,-2.3915308783470666
106,-2.362972177445186
107,-2.4476850300903967
108,-2.413310925300181
109,-2.398369272665332
110,-2.468655866012338
111,-2.3842420303978855
112,-2.3576919676207484
113,-2.442975797041599
114,-2.3824727010667948
115,-2.4656141705618717
116,-2.4019347754633023
117,-2.480788617735165
118,-2.343929114588217
119,-2.3795549731031587
120,-2.401230847793789
121,-2.4387580809584577
122,-2.336312203492061
123,-2.301644912537263
124,-2.4928990932223374
125,-2.338191798477359
126,-2.3186174623425546
127,-2.383099415171276
128,-2.459963401616759
129,-2.356832734122799
130,-2.4090460151039075
131,-2.430196031389663
132,-2.461502906783348
133,-2.3724731252011892
134,-2.3603596567040324
135,-2.4311765364839895
136,-2.3739711831463315
137,-2.4572170694811573
138,-2.3599069484064326
139,-2.3976716350787926
140,-2.409328488595367
141,-2.4050872936264573
142,-2.3565556921497066
143,-2.3624794180067497
144,-2.3735267337823647
145,-2.3931149395001308
146,-2.3961089436043648
147,-2.3690809869000735
148,-2.388375272041063
149,-2.3658724296567755
150,-2.415505838675903
151,-2.521741888205357
152,-2.348058769907029
153,-2.290651017651287
154,-2.377931777821571
155,-2.4050077616641747
156,-2.4068222371948016
157,-2.4059527093887403
158,-2.3991295295849997
159,-2.4561009364373443
160,-2.4258547228960112
161,-2.449851341382513
162,-2.3875600419306116
163,-2.414832057618543
164,-2.375239433801102
165,-2.408735157987125
166,-2.3506832406089377
167,-2.3893233049332276
168,-2.2904650135515134
169,-2.4948180461445544
170,-2.4323458344127453
171,-2.3549256554175644
172,-2.2735837146596802
173,-2.412431738885773
174,-2.3978165503410804
175,-2.4113157121256803
176,-2.3334271443706203
177,-2.4143653931738007
178,-2.3659965080060945
179,-2.4159900799449336
180,-2.4636279377622996
181,-2.384322613976828
182,-2.3748407593282335
183,-2.335338705873387
184,-2.4055223513208657
185,-2.430868103185618
186,-2.371861945169049
187,-2.387963145388113
188,-2.385966746143868
189,-2.4036556351873637
190,-2.3419830715003114
191,-2.3815253641812135
192,-2.304767064582951
193,-2.3444471650719745
194,-2.3670475101949893
195,-2.481371917030813
196,-2.3698840359852182
197,-2.378985889817647
198,-2.3594524163598223
199,-2.347777895264637
200,-2.420043909589446
201,-2.3587997190774797
202,-2.428115271550954
203,-2.302256096249548
204,-2.4665975833258624
205,-2.488034428019939
206,-2.482536063291205
207,-2.444527779208152
208,-2.455955769927986
209,-2.302196054814818
210,-2.416324974903909
211,-2.4671337894688716
212,-2.3442808511610105
213,-2.4293261969410795
214,-2.4618426688270696
215,-2.356208053617535
216,-2.3688318911710984
217,-2.4217478341477614
218,-2.3296229999879383
219,-2.3935449210144637
220,-2.319152520057135
221,-2.3748629559000047
222,-2.3220597229690068
223,-2.3945298651787286
224,-2.4609872198489517
225,-2.27753156754693
226,-2.427288708399128
227,-2.409941893144445
228,-2.4350199252460625
229,-2.4101697224482277
230,-2.3878665279459104
231,-2.3899084910562998
232,-2.3669489856200654
233,-2.3103920895512218
234,-2.4060232285894254
235,-2.4616560367723213
236,-2.4591159063254815
237,-2.433287725909956
238,-2.4837097903809466
239,-2.3587485087780506
240,-2.4249106781815537
241,-2.4155492489151427
242,-2.4000945741419
243,-2.4698310212297714
244,-2.443065818038802
245,-2.3662644237156014
246,-2.369073043460685
247,-2.4221585965350316
248,-2.309473254293727
249,-2.4652863461278867
250,-2.417249360507749
251,-2.4115419871567734
252,-2.539654250007327
253,-2.303123559319196
254,-2.381683399272997
255,-2.4522294690953896
256,-2.2974413278571277
257,-2.370716899991381
258,-2.3785236929989018
259,-2.430349919910002
260,-2.394688863798239
261,-2.476284015811468
262,-2.3602486952787576
263,-2.418721915942161
264,-2.393297590172269
265,-2.3398972568900147
266,-2.385762594457547
267,-2.3868766277268363
268,-2.3861750347588906
269,-2.4366635801947654
270,-2.3581997640282863
271,-2.322832044459776
272,-2.362059716995103
273,-2.3557545592767557
274,-2.443864075945909
275,-2.4433893611436464
276,-2.4720438012145918
277,-2.3383873464585783
278,-2.4127089933803685
279,-2.3300078028759508
280,-2.43909558413434
281,-2.421875449141429
282,-2.395228745640437
283,-2.3539274965670245
284,-2.3969624902100244
285,-2.389443762249614
286,-2.399173621634719
287,-2.391140613986202
288,-2.4558235008942373
289,-2.395953644951336
290,-2.409328949675573
291,-2.4028412240442925
292,-2.3753831722031675
293,-2.434033907050444
294,-2.4042254013702316
295,-2.414868094138675
296,-2.3791348997512567
297,-2.3607614674492203
298,-2.4477712631186845
299,-2.370704478444869
300,-2.2967108339890583
301,-2.473557846291631
302,-2.4415085947657555
303,-2.4440288799922083
304,-2.4139548860771645
305,-2.3188575457022997
306,-2.399332366182641
307,-2.4347346797643614
308,-2.3689098247847213
309,-2.4299902265535422
310,-2.343829391898903
311,-2.384736647987799
312,-2.3305610301814865
313,-2.433067212157651
314,-2.2484571443813985
315,-2.358770768748327
316,-2.3672709923706647
317,-2.4025594223803832
318,-2.4362798559567214
319,-2.4433884338811795
320,-2.4067988663050293
321,-2.4398634892746562
322,-2.385866214387579
323,-2.441304871592366
324,-2.3689458649580497
325,-2.352193914793765
326,-2.435292025370114
327,-2.340365696612265
328,-2.411897096787609
329,-2.342235605695589
330,-2.378091682635438
331,-2.3438835839171452
332,-2.449850989776484
333,-2.405339699338961
334,-2.3274285369704533
335,-2.430901842384079
336,-2.50186006128404
337,-2.4971294590738227
338,-2.525322032633803
339,-2.505708196095841
340,-2.420581958159424
341,-2.336073595857914
342,-2.4221114639756585
343,-2.3838236323199284
344,-2.4054995745081804
345,-2.399572552728199
346,-2.4084099419872356
347,-2.4087090172153993
348,-2.376941795001149
349,-2.458799133572066
350,-2.3494936411332636
351,-2.3539991033376118
352,-2.409752867043795
353,-2.3597303287883906
354,-2.435067221312859
355,-2.426861151193767
356,-2.3921868074864956
357,-2.409511051254243
358,-2.422436901633581
359,-2.4336224019393295
360,-2.427874736089302
361,-2.3530415627901755
362,-2.4971661702834176
363,-2.3823752817815333
364,-2.4118218475906494
365,-2.3636093250000174
366,-2.3742463193180314
367,-2.5391267233826462
368,-2.3707676694761286
369,-2.383786287827579
370,-2.3989068581686723
371,-2.4234336908138943
372,-2.3573359389022186
373,-2.4206514654855513
374,-2.3082641186675157
375,-2.3717808572252843
376,-2.293108596628026
377,-2.439276699846012
378,-2.4877962820116424
379,-2.364260520125709
380,-2.3573647969137355
381,-2.398231995147262
382,-2.476939662287232
383,-2.422394759235806
384,-2.3691007233039834
385,-2.4092088162826872
386,-2.40579925927362
387,-2.4087729484330875
388,-2.446695732781325
389,-2.42665101630418
390,-2.4713277710260266
391,-2.311602002584449
392,-2.423768643756899
393,-2.376119490909122
394,-2.4510942972320655
395,-2.360273588019946
396,-2.493658048881765
397,-2.353969244097252
398,-2.4017683962439356
399,-2.2944697473199644
400,-2.4653267036422006
401,-2.3961809759920203
402,-2.3816384093058067
403,-2.338355040381188
404,-2.4211428480695387
405,-2.3956767796737855
406,-2.5071233364538683
407,-2.441508443201135
408,-2.377419202472238
409,-2.344791283684839
410,-2.4140868134532805
411,-2.2971822238400854
412,-2.3119875386775455
413,-2.4030326245887403
414,-2.5206751500586893
415,-2.488878318790299
416,-2.4388929413313707
417,-2.3442079446037916
418,-2.3844863856108116
419,-2.5047123908111404
420,-2.411438291443508
421,-2.319331931271844
422,-2.4187402343651327
423,-2.437498480863783
424,-2.297268794874094
425,-2.3973295231600824
426,-2.423957854939304
427,-2.3824916420585858
428,-2.3991417636812953
429,-2.4214571139117544
430,-2.339577183572402
431,-2.3442149098607756
432,-2.357956922092945
433,-2.4051443608786767
434,-2.3426549811800257
435,-2.4024851289579336
436,-2.376667836638558
437,-2.3483156566030248
438,-2.359557781986716
439,-2.3105122658396864
440,-2.3774357991979915
441,-2.484202999293412
442,-2.4580085052491136
443,-2.3324946590659135
444,-2.4165641584966315
445,-2.3806730427433456
446,-2.442572782826541
447,-2.349955928815985
448,-2.4192416124416396
449,-2.327094588069524
450,-2.4266117010449086
451,-2.344093330164115
452,-2.3662801947589567
453,-2.4361195952707075
454,-2.345050183362641
455,-2.4450817245237997
456,-2.4411233594452124
457,-2.3639144353943653
458,-2.4312671000732995
459,-2.4296921533627254
460,-2.4171950354605194
461,-2.450008459493626
462,-2.347750279516305
463,-2.3695742650757574
464,-2.4034664348345243
465,-2.405419603358677
466,-2.377492224361641
467,-2.311733244974046
468,-2.356451509873388
469,-2.42542285671377
470,-2.361129039737557
471,-2.4059385586051545
472,-2.409949909190186
473,-2.3066764312423937
474,-2.420946894883906
475,-2.4239592457563703
476,-2.4976052643622615
477,-2.4701164572726566
478,-2.3774438530632698
479,-2.4347460450592617
480,-2.374229309910838
481,-2.455743552618297
482,-2.4383654913165866
483,-2.3662714646521996
484,-2.326955380976846
485,-2.370376359928799
486,-2.3401084579139373
487,-2.3147702914313797
488,-2.347995542342295
489,-2.4459220019150014
490,-2.405267235625377
491,-2.368490216465754
492,-2.420742345064412
493,-2.3774026981339387
494,-2.478957814269723
495,-2.4414313989428202
496,-2.373556012720741
497,-2.5118543255556234
498,-2.4553856251142276
499,-2.400885915895507
500,-2.485969723730976
501,-2.397143950195895
502,-2.439977374534588
503,-2.4145797297750415
504,-2.4129491426700267
505,-2.3905353401220673
506,-2.4281894367291152
507,-2.3955156796338706
508,-2.430057840032469
509,-2.3721963244961306
510,-2.3153095443355958
511,-2.3901565110374854
512,-2.391506537232621
