"","value"
"1",0
"2",0
"3",0
"4",5
"5",0
"6",0
"7",0
"8",0
"9",15
"10",200
"11",30
"12",0
"13",0
"14",0
"15",0
"16",0
"17",50
"18",0
"19",50
"20",50
"21",15
"22",100
"23",100
"24",0
"25",0
"26",0
"27",20
"28",0
"29",0
"30",0
"31",0
"32",40
"33",0
"34",40
"35",50
"36",50
"37",80
"38",80
"39",0
"40",0
"41",0
"42",50
"43",50
"44",20
"45",20
"46",0
"47",0
"48",0
"49",0
"50",0
"51",60
"52",10
"53",0
"54",0
"55",60
"56",0
"57",0
"58",0
"59",200
"60",20
"61",20
"62",20
"63",40
"64",0
"65",0
"66",100
"67",100
"68",0
"69",0
"70",50
"71",900
"72",330
"73",0
"74",1000
"75",0
"76",0
"77",0
"78",10
"79",10
"80",0
"81",40
"82",0
"83",0
"84",0
"85",0
"86",460
"87",0
"88",300
"89",0
"90",100
"91",0
"92",0
"93",240
"94",0
"95",200
"96",110
"97",130
"98",240
"99",10
"100",80
"101",80
"102",0
"103",0
"104",0
"105",60
"106",60
"107",50
"108",260
"109",1000
"110",80
"111",0
"112",0
"113",0
"114",150
"115",40
"116",40
"117",50
"118",50
"119",30
"120",0
"121",0
"122",0
"123",30
"124",340
"125",0
"126",20
"127",0
"128",0
"129",200
"130",30
"131",330
"132",100
"133",210
"134",100
"135",120
"136",250
"137",0
"138",30
"139",470
"140",180
"141",0
"142",510
"143",0
"144",30
"145",0
"146",20
"147",0
"148",0
"149",0
"150",400
"151",0
"152",200
"153",0
"154",15
"155",1000
"156",0
"157",0
"158",30
"159",500
"160",0
"161",50
"162",15
"163",20
"164",0
"165",250
"166",240
"167",0
"168",0
"169",15
"170",20
"171",5
"172",200
"173",240
"174",0
"175",180
"176",0
"177",0
"178",10
"179",5
"180",330
"181",1
"182",240
"183",250
"184",180
"185",60
"186",0
"187",0
"188",70
"189",350
"190",500
"191",0
"192",1000
"193",120
"194",240
"195",50
"196",10
"197",240
"198",80
"199",5
"200",100
