"","value"
"1",84.74
"2",13.15
"3",11.52
"4",41.42
"5",52.93
"6",55.57
"7",20.39
"8",43.02
"9",62.13
"10",32.8
"11",74.92
"12",30.08
"13",18.71
"14",26.08
"15",64.73
"16",62.79
"17",57.22
"18",29.85
"19",34.65
"20",68.09
"21",73.91
"22",27.92
"23",22.26
"24",69.63
"25",19.79
"26",39.81
"27",38.12
"28",42.66
"29",67.6
"30",31.66
"31",58.08
"32",44.02
"33",58.73
"34",67.53
"35",31.98
"36",71.01
"37",31.05
"38",67.52
"39",53.74
"40",64.35
"41",31.79
"42",67.25
"43",48.05
"44",68.05
"45",64.93
"46",34.83
"47",66.72
"48",70.52
"49",58.46
"50",35.21
"51",69.82
"52",71.2
"53",71.35
"54",35.99
"55",40.05
"56",23.57
"57",73.65
"58",48.3
"59",64.9
"60",52.68
"61",71.67
"62",29.22
"63",31.02
"64",40.17
"65",60.81
"66",28.3
"67",32.06
"68",42.12
"69",62.65
"70",61.87
"71",55.53
"72",54.13
"73",49.63
"74",61.65
"75",59.33
"76",61.41
"77",56.23
"78",70.04
"79",29.97
"80",23.99
"81",67.42
"82",62.05
"83",76.94
"84",24.72
"85",46.4
"86",43.07
"87",67.5
"88",71.25
"89",26.29
"90",58.3
"91",64.21
"92",62.1
"93",65.36
"94",61.94
"95",36.48
"96",52.34
"97",62.47
"98",69.52
"99",34.24
"100",27.29
"101",72.56
"102",59.81
"103",58.42
"104",59.84
"105",53.72
"106",61.17
"107",58.76
"108",66.45
"109",54.79
"110",62.07
"111",63.36
"112",64.33
"113",33.86
"114",42.92
"115",65.7
"116",46.14
"117",47.79
"118",64.02
"119",60.43
"120",61.53
"121",36.99
"122",44.95
"123",29.18
"124",36.06
"125",43.88
"126",49.44
"127",36.55
"128",34.01
"129",30.14
"130",51.04
"131",27.66
"132",23.47
"133",43.49
"134",43.13
"135",52.41
"136",47.52
"137",35.5
"138",31.04
"139",51.35
"140",48.66
"141",34.32
"142",50.61
"143",29.81
"144",31.29
"145",37.8
"146",32.33
"147",39.2
"148",27.23
"149",48.81
"150",36.96
"151",38.57
"152",30.92
"153",35.27
"154",30.92
"155",49.55
"156",39.04
"157",48.17
"158",27.5
"159",32.1
"160",29.2
"161",19.16
"162",42.26
"163",25.44
"164",24.25
"165",39.18
"166",54.96
"167",40.13
"168",47.58
"169",34.86
"170",33.6
"171",33.65
"172",37.56
"173",30.22
"174",53.38
"175",44.11
"176",48.07
"177",44.17
"178",40.07
"179",31.23
"180",30.71
"181",49.83
"182",42.88
"183",56.61
"184",26.9
"185",35.09
"186",41.47
"187",39.98
"188",36.81
"189",27.85
"190",46.74
"191",41.08
"192",24.54
"193",30.86
"194",39.73
"195",33.16
"196",37.28
"197",56.93
"198",40.81
"199",52.95
"200",50.66
"201",49.85
"202",40.3
"203",39.21
"204",45.03
"205",36.42
"206",34.79
"207",46.61
"208",38.51
"209",43.43
"210",44.41
"211",34.49
"212",42.23
"213",42.01
"214",42.46
"215",28.18
"216",42.36
"217",36.28
"218",42.49
"219",34.49
"220",28.03
"221",43.75
"222",39.83
"223",46.14
"224",41
"225",38.03
"226",39.73
"227",42.94
"228",38.3
"229",39.36
"230",30.64
"231",44.68
"232",37.1
"233",51.49
"234",31.58
"235",45.85
"236",30.48
"237",41.62
"238",37.11
"239",47.76
"240",34.68
"241",37.11
"242",42.36
"243",42.86
"244",44.59
"245",21.78
"246",41.57
"247",36
"248",50.07
"249",25.07
"250",43.38
"251",33.31
"252",37.79
"253",105.34
"254",93.27
"255",78.56
"256",72.96
"257",186.22
"258",99.1
"259",91.03
"260",128.48
"261",109.33
"262",81.59
"263",96.14
"264",76.98
"265",108.37
"266",189.19
"267",120.59
"268",118.68
"269",105.24
"270",105.31
"271",102.36
"272",127.64
"273",79.17
"274",98.11
"275",193.57
"276",109.2
"277",116.1
"278",79.84
"279",80.97
"280",139.52
"281",80.59
"282",80.25
"283",94.88
"284",98.77
"285",138.71
"286",80.99
"287",89.42
"288",93.5
"289",97.93
"290",101.61
"291",180.14
"292",121.71
"293",202.32
"294",90.57
"295",82.44
"296",121.33
"297",90.11
"298",84
"299",95.37
"300",177.14
"301",111.8
"302",79.14
"303",135.79
"304",116.32
"305",81.29
"306",95.26
"307",75.37
"308",107.78
"309",181.56
"310",111.69
"311",109.62
"312",116.32
"313",186.96
"314",91.33
"315",104.29
"316",186.37
"317",86.56
"318",228.39
"319",133.39
"320",186.01
"321",121.03
"322",232.9
"323",84.93
"324",109.27
"325",92.93
"326",120.75
"327",185.9
"328",77.65
"329",81.43
"330",86.91
"331",191.46
"332",75.07
"333",88.41
"334",75.18
"335",179.62
"336",86.39
"337",82.28
"338",85.27
"339",110.08
"340",119.01
"341",137.97
"342",88.29
"343",81.47
"344",83.66
"345",80.61
"346",88.21
"347",103.57
"348",83.94
"349",102.25
"350",102.47
"351",114.16
"352",101.2
"353",192.88
"354",80.34
"355",119.06
"356",87.73
"357",84.73
"358",83.81
"359",114.15
"360",72.96
"361",88.74
"362",85.05
"363",121.21
"364",193.86
"365",85.84
"366",76.72
"367",100.99
"368",77.91
"369",173.15
"370",92.3
"371",76.67
"372",112.23
"373",78.7
"374",83.42
"375",193.34
"376",76.54
"377",224.2
"378",81.76
"379",96.56
"380",182.18
"381",181.41
"382",126.69
"383",134.3
"384",108.05
"385",169.65
"386",27.3
"387",33.38
"388",9.82
"389",40.97
"390",41.73
"391",43.5
"392",42.39
"393",37.3
"394",37.31
"395",32.6
"396",41.56
"397",20.36
"398",39.86
"399",44.15
"400",25.56
"401",35.46
"402",42.74
"403",40.53
"404",46.33
"405",41.26
"406",45.13
"407",41.89
"408",27.37
"409",32.6
"410",37.8
"411",12.35
"412",42.57
"413",36.37
"414",40.85
"415",25.2
"416",11.9
"417",29.53
"418",14
"419",45.7
"420",20.47
"421",13.08
"422",29.39
"423",39.1
"424",34.76
"425",33.84
"426",21.7
"427",49.48
"428",38.9
"429",25.57
"430",46.75
"431",36.9
"432",21.73
"433",30.97
"434",39.39
"435",40.16
"436",41.18
"437",20.49
"438",38.25
"439",40.75
"440",26.22
"441",37.92
"442",36.84
"443",34.94
"444",135.17
"445",34.44
"446",29.55
"447",32.65
"448",39.75
"449",40.05
"450",37.98
"451",25.95
"452",44.37
"453",38.25
"454",44.46
"455",36.15
"456",40.82
"457",48.22
"458",24.6
"459",27.43
"460",29.78
"461",42.73
"462",20.27
"463",20.68
"464",41.38
"465",35
"466",23.86
"467",32.02
"468",36.63
"469",27.58
"470",46.46
"471",37.22
"472",23.27
"473",19.27
"474",42.8
"475",38.58
"476",26.27
"477",46.78
"478",44.02
"479",41.15
"480",16.99
"481",27.7
"482",14.99
"483",42.63
"484",41.59
"485",15.49
"486",35.6
"487",20.94
"488",18.78
"489",37.11
"490",39.17
"491",20.4
"492",36.28
"493",12.51
"494",42.4
"495",49.57
"496",21.56
"497",34.77
"498",47.49
"499",17.92
"500",37.76
"501",23.06
"502",46.78
"503",39.24
"504",21.03
"505",51.99
"506",31.34
"507",20.92
"508",24.34
"509",26.53
"510",16.8
"511",32.36
"512",33.03
"513",26.8
"514",27.49
"515",39.82
"516",13.66
"517",26.87
"518",8.15
"519",32.44
"520",43.11
"521",27.67
"522",39.49
"523",15.98
"524",36.2
