,method,solution,time,fitness,optimal_solution,optimal_fitness,nr_of_components,dataset_idx,random_state,KL,JS
0,DO,"[ 0.08251439  0.23634259  0.14165857  0.16709574  0.0366604   0.17564972
  0.16007857  0.07568862  0.02003167  0.01789284  0.02406576  0.10464752
  0.01477561  0.06253086 -0.00568936  0.05034053  0.19581816  0.3421218
  0.51636183  0.62594325  0.72548516]",1.764005999895744,0.04039905719515798,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.00146925024896239,7,0,1,0.35968954827021093,0.09471938251750495
1,GA Mann-Wald,"[ 0.07482277  0.20385872  0.18800753  0.12954999  0.03878549  0.16820713
  0.19676837  0.08304099  0.00943475  0.04123614  0.02146479  0.10367378
  0.01673382  0.04701895 -0.01115765  0.03915687  0.19172786  0.33774246
  0.49385277  0.6234704   0.74358068]",2.061126707936637,0.48337908771425214,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,1,0.29170583182599275,0.08587511382080909
2,iLSHADE Mann-Wald,"[0.15672632 0.20817167 0.11156812 0.16139518 0.03002961 0.21936585
 0.23653806 0.0890087  0.00605194 0.01028069 0.0216191  0.03124711
 0.01654102 0.04387931 0.04346855 0.0373935  0.21296602 0.33932338
 0.38982259 0.62755906 0.74569687]",2.5059679170371965,0.2129505438365001,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,1,0.1616528835683102,0.05041014361955064
3,EM,"[0.20658528 0.15415815 0.11237993 0.17658365 0.22967398 0.08989155
 0.03072745 0.00620014 0.08790026 0.01069473 0.02408149 0.01809863
 0.00689353 0.00712812 0.03726356 0.04223806 0.21253823 0.34278232
 0.62835304 0.72612472 0.8108224 ]",0.27559716592077166,0.01265665514002488,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,1,0.000606415429953322,0.00015829589191196277
4,DO,"[ 0.05502036  0.28034428  0.11777577  0.0613615   0.13306454  0.1803415
  0.17209205  0.05256812  0.01997629  0.00867038  0.01983214  0.01857394
  0.01735651  0.06646729 -0.04274742  0.05116245  0.18710362  0.29398173
  0.35990529  0.62272974  0.72751817]",2.011996041983366,0.028442478230920748,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.00146925024896239,7,0,2,0.7874322086048045,0.14438848680058936
5,GA Mann-Wald,"[ 0.07708036  0.19285577  0.18476662  0.1486141   0.03732773  0.14197414
  0.21738128  0.07538933  0.01087133  0.04297102  0.0305882   0.06914843
  0.01576936  0.05800824 -0.02886208  0.04031964  0.19485595  0.32793692
  0.44788977  0.62350566  0.72661142]",1.8904291250510141,0.5793469853667653,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,2,0.33702081599007006,0.09553217254828993
6,iLSHADE Mann-Wald,"[0.15781632 0.2078268  0.11475555 0.16119751 0.03000366 0.21784852
 0.23705934 0.0873526  0.00610181 0.01044437 0.02173083 0.02891344
 0.01665445 0.04430994 0.04121612 0.03726568 0.2127729  0.33904432
 0.38934807 0.62751957 0.74395104]",1.9267174169654027,0.21287233503994032,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,2,0.15927641043028085,0.05077148908157487
7,EM,"[0.20660432 0.15426629 0.11227036 0.17656606 0.22967398 0.08989155
 0.03072745 0.00620045 0.08802517 0.01067483 0.02407596 0.01809863
 0.00689353 0.00712812 0.03726324 0.04238617 0.21254184 0.34278717
 0.62835304 0.72612472 0.8108224 ]",0.12048450007569045,0.01262740181755608,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,2,0.0005132151030261545,0.00015127141027873836
8,DO,"[ 0.04600559  0.27900245  0.15492173  0.12908906  0.05215681  0.15743173
  0.18139262  0.0555859   0.02370895  0.01945518  0.01007422  0.03432382
  0.02145826  0.07299592 -0.06114654  0.05156376  0.19717741  0.33338687
  0.36622226  0.62569962  0.71807432]",1.7312290410045534,0.03182871400900504,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.00146925024896239,7,0,3,0.42622729405424586,0.10605034329373607
9,GA Mann-Wald,"[ 0.07797162  0.24017648  0.04995515  0.13321089  0.12152752  0.17288887
  0.20426947  0.09132724  0.00855805  0.06817119  0.01426038  0.02631963
  0.01911264  0.05647066 -0.11920619  0.03944066  0.12020601  0.2152912
  0.33870557  0.62884949  0.73332415]",1.9746707079466432,0.390119441712327,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,3,0.24302458857012876,0.06797717389977938
10,iLSHADE Mann-Wald,"[0.15285562 0.21431566 0.11063398 0.15666311 0.03005938 0.21520038
 0.24032996 0.08807375 0.00608857 0.01068679 0.02192266 0.03016415
 0.01655091 0.04502252 0.03905018 0.03749388 0.21268108 0.34005872
 0.39060581 0.62754262 0.74422213]",1.9995332090184093,0.2140574105250486,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,3,0.1648394085077497,0.050607074517577844
11,EM,"[0.20658528 0.15415815 0.11237993 0.17658365 0.22967398 0.08989155
 0.03072745 0.00620014 0.08790026 0.01069473 0.02408149 0.01809863
 0.00689353 0.00712812 0.03726356 0.04223806 0.21253823 0.34278232
 0.62835304 0.72612472 0.8108224 ]",0.27411879098508507,0.012656655140024821,"[0.20322436 0.15746847 0.1122295  0.17681226 0.22961234 0.08988726
 0.0307658  0.00599834 0.08507621 0.01086408 0.02381412 0.01782084
 0.00678441 0.006846   0.03726596 0.04474356 0.21256557 0.3429895
 0.62888372 0.72619927 0.81057453]",0.0134816924630507,7,0,3,0.0004118211250246917,0.00017038650664929795
